name,mass,radius,right_ascension,declination,distance
TOI-1685 b,0.01189,0.152,68.59583333333333,43.036944444444444,37.609
WASP-71 b,2.242,1.46,29.26335,0.7588552222222222,200.0
LTT 3780 b,0.00824,0.119,154.64640416666668,-10.28326625,21.98
LTT 3780 c,0.02706,0.205,154.64640416666668,-10.28326625,21.98
WASP-177 b,0.508,1.58,334.79723625,-0.16581136111111108,177.7
NGTS-18 b,0.409,1.21,180.54583333333332,-34.45138888888889,1108.0
WASP-170 b,1.6,1.096,135.41634875,-19.27962652777778,308.27
WASP-192 b,2.3,1.23,223.65871458333334,-37.25545975,495.0
HAT-P-31 b,2.171,1.07,271.5377079166667,26.426663805555556,354.0
WASP-67 b,0.42,1.4,295.74384041666667,-18.05041027777778,225.0
HIP 116454 b,0.037182,0.23056,353.9553541666666,0.44551186111111113,55.2
K2-36 b,0.01227,0.128,169.44909833333332,3.866391027777778,110.09
K2-36 c,0.02454,0.285,169.44909833333332,3.866391027777778,110.09
K2-367 b,0.0202,0.215,337.8583333333333,-12.735555555555555,176.965
Kepler-1766 b,0.0183,0.203,294.27916666666664,46.67527777777777,501.229
HATS-10 b,0.526,0.969,294.3068133333333,-21.795523361111112,496.0
HD 89839 b,5.01,1.15,155.17083333333332,-52.336111111111116,57.3063
HAT-P-49 b,1.73,1.413,305.44137375,26.69266772222222,322.0
WASP-131 b,0.27,1.22,210.19351958333334,-29.416434000000002,250.0
LP 714-47 b,0.09691,0.419,64.19000208333334,-11.915985,52.7
TOI-2338 b,5.98,1.0,81.34583333333335,-33.33166666666667,313.996
KOI-830 b,1.27,1.08,290.5817354166667,40.577378861111114,720.0
K2-353 b,0.0829,0.495,201.61666666666667,-1.7180555555555557,268.515
K2-341 b,0.0327,0.286,130.49583333333334,19.916666666666664,421.408
WASP-118 b,0.514,1.44,19.550575416666668,2.7028475555555556,250.0
NGTS-12 b,0.208,1.048,176.25,-34.35944444444444,452.0
KELT-10 b,0.679,1.399,284.5483729166666,-46.99675991666667,183.0
HAT-P-55 b,0.582,1.182,264.27347416666663,25.731181749999998,480.0
WASP-23 b,0.884,0.962,101.12755583333335,-41.238148333333335,208.7378
WASP-80 b,0.554,0.952,303.16737125000003,-1.85578025,60.0
TOI-178 b,0.00472,0.10278,7.3012625,-29.54625975,63.0
TOI-178 c,0.01501,0.1489,7.3012625,-29.54625975,63.0
TOI-178 d,0.00947,0.22946,7.3012625,-29.54625975,63.0
TOI-178 e,0.01214,0.1969,7.3012625,-29.54625975,63.0
TOI-178 f,0.02429,0.20403,7.3012625,-29.54625975,63.0
TOI-178 g,0.0124,0.256,7.3012625,-29.54625975,63.0
WASP-150 b,8.46,1.07,264.26305,53.02124494444444,536.14
WASP-163 b,1.87,1.202,256.53755458333336,-9.587015944444444,263.29
Kepler-1953 b,0.00692,0.115,287.96666666666664,46.470555555555556,605.631
Kepler-131 b,0.05074,0.219624,288.53085583333336,40.94231272222222,226.3
Kepler-131 c,0.025952,0.076549,288.53085583333336,40.94231272222222,226.3
Qatar-7 b,1.88,1.7,358.51666666666665,37.02194444444444,725.0
Kepler-1868 b,0.0317,0.281,293.3,43.55583333333333,274.18
K2-261 b,0.223,0.85,163.03241375,0.49335711111111114,214.58
HATS-65 b,0.821,1.501,292.9397991666666,-25.25979863888889,500.0
KMT-2021-BLG-1554L b,0.12,0.616,267.80416666666673,-30.135555555555555,7680.0
HR 8799 b,5.0,0.7,346.86964612500003,21.13425147222222,39.4
HR 8799 c,7.0,1.0,346.86964612500003,21.13425147222222,39.4
HR 8799 d,7.0,1.1,346.86964612500003,21.13425147222222,39.4
HR 8799 e,7.0,1.0,346.86964612500003,21.13425147222222,39.4
TOI-1260 b,0.02709,0.20832,157.14583333333334,65.85416666666666,73.41
TOI-1260 c,0.03725,0.2516,157.14583333333334,65.85416666666666,73.41
2MASS J0219-3925 B,13.9,1.44,34.84208333333333,-38.577083333333334,39.4
GJ 1148 c,0.21414,0.866,175.43598333333333,42.75197355555556,11.0143
GJ 1148 b,0.30425,1.07,175.43598333333333,42.75197355555556,11.0143
K2-334 b,0.0854,0.504,136.4875,16.325555555555557,371.823
Kepler-1986 b,0.0133,0.263,292.9583333333333,42.855000000000004,912.085
KELT-17 b,1.31,1.525,125.61751958333335,13.735317916666666,210.0
WASP-102 b,0.624,1.259,336.46436250000005,15.85674188888889,543.685
Kepler-1950 b,0.00927,0.136,287.0875,42.66861111111111,697.253
NGTS-4 b,0.0647988248135461,0.283702746,89.59897875,-29.188232527777778,282.6
Kepler-12 b,0.43,1.75,286.243425,50.04035316666666,600.0
HATS-21 b,0.332,1.123,280.18439166666667,-57.45916666666667,286.0
Kepler-1773 b,0.038,0.313,286.225,38.25805555555556,681.255
HATS-16 b,3.27,1.3,358.5587425,-29.986970444444445,774.0
TOI-1468 c,0.02089,0.184,16.65416666666667,19.224999999999998,24.7399
TOI-1468 b,0.0101,0.114,16.65416666666667,19.224999999999998,24.7399
WASP-88 b,0.56,1.7,309.5111954166667,-47.537937388888885,531.604
K2-237 b,1.236,1.642,253.76888958333336,-27.28944036111111,309.5
Kepler-1844 b,0.0298,0.271,292.69166666666666,37.93444444444444,1804.36
EPIC 249893012 b,0.02753,0.174,228.24817416666664,-15.275500277777777,324.22
EPIC 249893012 c,0.04616,0.327,228.24817416666664,-15.275500277777777,324.22
EPIC 249893012 d,0.03203,0.352,228.24817416666664,-15.275500277777777,324.22
TOI-2498 b,0.10893,0.541,95.41666666666666,11.251666666666667,275.265
Kepler-1714 b,0.0337,0.291,293.71666666666664,46.22666666666667,409.46
HAT-P-37 b,1.169,1.178,284.2960675,51.26912486111111,411.0
CoRoT-25 b,0.27,1.08,280.6296666666667,6.513818416666667,1000.0
